scfFolio2,scfConsec2,scfNombre2,scfCodigo2,scfValor2,scfRazon12,scfRazon22,scfRazon32,scfCodErr2,scfRecal2,scfFraude2,inpICCVal2
2341239,1,BC SCORE,7,0516,17,05,28, , , , 
2341042,1,BC SCORE,7,0711,04, , , , , , 
2341164,1,BC SCORE,7,0656,15,16,31, , , , 
2341069,1,BC SCORE,7,-008, , , , , , , 
2341124,1,BC SCORE,7,0726,04, , , , , , 
2341157,1,BC SCORE,7,0641,15,16,09, , , , 
2341167,1,BC SCORE,7,0596,15,17,28, , , , 
2341207,1,BC SCORE,7,0576,15,05,09, , , , 
2341196,1,BC SCORE,7,0559,28,21,05, , , , 
2341224,1,BC SCORE,7,0461,07,17,05, , , , 
2341218,1,BC SCORE,7,0644,05,32, , , , , 
2341258,1,BC SCORE,7,0721,04, , , , , , 
2341253,1,BC SCORE,7,0697,18, , , , , , 
2341280,1,BC SCORE,7,0622,20,31, , , , , 
2341263,1,BC SCORE,7,0716,29,28,04, , , , 
2341313,1,BC SCORE,7,-009, , , , , , , 
2341327,1,BC SCORE,7,0598,21, , , , , , 
2341308,1,BC SCORE,7,0657,17,28, , , , , 
2341366,1,BC SCORE,7,0631,15,21,09, , , , 
2341526,1,BC SCORE,7,0659,15,28, , , , , 
2341330,1,BC SCORE,7,-008, , , , , , , 
2341299,1,BC SCORE,7,0713,04,28, , , , , 
2335314,1,BC SCORE,7,-009, , , , , , , 
2341362,1,BC SCORE,7,0696,04, , , , , , 
2341363,1,BC SCORE,7,0597,15,28,17, , , , 
2341376,1,BC SCORE,7,0728,04, , , , , , 
2341585,1,BC SCORE,7,0732,04, , , , , , 
2341375,1,BC SCORE,7,-009, , , , , , , 
2341385,1,BC SCORE,7,-008, , , , , , , 
2341391,1,BC SCORE,7,0492,17,07,05, , , , 
2341678,1,BC SCORE,7,0722,04, , , , , , 
2341397,1,BC SCORE,7,0641,13,28, , , , , 
2341407,1,BC SCORE,7,0719,04, , , , , , 
2341554,1,BC SCORE,7,0707,15,04, , , , , 
2341439,1,BC SCORE,7,0684,15,29,09, , , , 
2297567,1,BC SCORE,7,-009, , , , , , , 
2341773,1,BC SCORE,7,-008, , , , , , , 
2210963,1,BC SCORE,7,0678,05, , , , , , 
2341559,1,BC SCORE,7,0614,05,17,21, , , , 
2341641,1,BC SCORE,7,0641,15,28,05, , , , 
2340193,1,BC SCORE,7,0619,17,15,09, , , , 
2336467,1,BC SCORE,7,0704,16,04, , , , , 
2341564,1,BC SCORE,7,0702,15,04,28, , , , 
2341558,1,BC SCORE,7,0559,28,21, , , , , 
2341601,1,BC SCORE,7,0681,17,31, , , , , 
2341719,1,BC SCORE,7,0732,04, , , , , , 
2341722,1,BC SCORE,7,0643,15,28,32, , , , 
2341689,1,BC SCORE,7,0702,04, , , , , , 
2341803,1,BC SCORE,7,0670,28,15,16, , , , 
2341881,1,BC SCORE,7,0590,21,17, , , , , 
2341721,1,BC SCORE,7,0678,28,21, , , , , 
2216437,1,BC SCORE,7,0631,13,15,28, , , , 
2341843,1,BC SCORE,7,0648,05,15, , , , , 
2341759,1,BC SCORE,7,0560,17,13,28, , , , 
2341728,1,BC SCORE,7,-009, , , , , , , 
2317877,1,BC SCORE,7,0695,18, , , , , , 
2341772,1,BC SCORE,7,0549,17,13,28, , , , 
2341883,1,BC SCORE,7,0572,28,21, , , , , 
2341781,1,BC SCORE,7,0702,04, , , , , , 
2341777,1,BC SCORE,7,0714,04, , , , , , 
2341795,1,BC SCORE,7,0660,04,18, , , , , 
2341880,1,BC SCORE,7,0664,28,05, , , , , 
2341828,1,BC SCORE,7,0553,21,07, , , , , 
2341829,1,BC SCORE,7,0720,04, , , , , , 
2342007,1,BC SCORE,7,0708,04, , , , , , 
2341921,1,BC SCORE,7,0692,28,16,04, , , , 
2341934,1,BC SCORE,7,0708,04, , , , , , 
2341939,1,BC SCORE,7,0720,21,04, , , , , 
2341935,1,BC SCORE,7,0701,15,04, , , , , 
2341959,1,BC SCORE,7,0674,17,16,28, , , , 
2342157,1,BC SCORE,7,0662,17,16,31, , , , 
2342016,1,BC SCORE,7,0664,05,18,31, , , , 
2342127,1,BC SCORE,7,0661,05,28, , , , , 
2342055,1,BC SCORE,7,0664,05,18,32, , , , 
2342072,1,BC SCORE,7,0678,57, , , , , , 
2342104,1,BC SCORE,7,0603,05,21,28, , , , 
2342258,1,BC SCORE,7,0560,17,13,28, , , , 
2342209,1,BC SCORE,7,0516,01,15, , , , , 
2342263,1,BC SCORE,7,0706,15,28,04, , , , 
2342302,1,BC SCORE,7,0663,31,09, , , , , 
2342355,1,BC SCORE,7,0665,15,05, , , , , 
2342335,1,BC SCORE,7,0572,28,21, , , , , 
2342400,1,BC SCORE,7,0620,15,05,28, , , , 
2342382,1,BC SCORE,7,0564,28,21, , , , , 
2342377,1,BC SCORE,7,0715,29,09,04, , , , 
2342371,1,BC SCORE,7,0671,17,31,28, , , , 
2342391,1,BC SCORE,7,0567,17,21,31, , , , 
2342401,1,BC SCORE,7,0691,17, , , , , , 
2342404,1,BC SCORE,7,0728,04,28, , , , , 
2342709,1,BC SCORE,7,0656,21,15,09, , , , 
2342445,1,BC SCORE,7,0641,17,15,16, , , , 
2240796,1,BC SCORE,7,0660,16,31,09, , , , 
2342574,1,BC SCORE,7,-008, , , , , , , 
2342675,1,BC SCORE,7,-008, , , , , , , 
2342703,1,BC SCORE,7,-009, , , , , , , 
2342699,1,BC SCORE,7,0725,04, , , , , , 
2342770,1,BC SCORE,7,0575,21,28, , , , , 
2340159,1,BC SCORE,7,0672,28,05, , , , , 
2342812,1,BC SCORE,7,0528,07,28,21, , , , 
2342792,1,BC SCORE,7,0691,15,28, , , , , 
2342887,1,BC SCORE,7,0701,15,04,28, , , , 
2342938,1,BC SCORE,7,0635,05,28,32, , , , 
2342946,1,BC SCORE,7,-008, , , , , , , 
2342824,1,BC SCORE,7,0684,17,28,16, , , , 
2342849,1,BC SCORE,7,0681,15,16,28, , , , 
2342845,1,BC SCORE,7,0630,15,28, , , , , 
2342860,1,BC SCORE,7,0688,21,15, , , , , 
2342879,1,BC SCORE,7,0665,17,16,28, , , , 
2342954,1,BC SCORE,7,0703,04, , , , , , 
2342936,1,BC SCORE,7,0657,17,16, , , , , 
2342952,1,BC SCORE,7,0688,57, , , , , , 
2342940,1,BC SCORE,7,0676,13,04, , , , , 
2342982,1,BC SCORE,7,0684,18,31, , , , , 
2342979,1,BC SCORE,7,0635,61, , , , , , 
2342965,1,BC SCORE,7,0719,04, , , , , , 
2342969,1,BC SCORE,7,0698,04, , , , , , 
2257931,1,BC SCORE,7,0728,04, , , , , , 
2342999,1,BC SCORE,7,0681,21,15,04, , , , 
2343003,1,BC SCORE,7,0651,15,28,31, , , , 
2343009,1,BC SCORE,7,0674,20, , , , , , 
2343114,1,BC SCORE,7,0656,28,16,15, , , , 
2343058,1,BC SCORE,7,0675,15,29,09, , , , 
2343499,1,BC SCORE,7,0705,15,04, , , , , 
2343188,1,BC SCORE,7,-008, , , , , , , 
2343111,1,BC SCORE,7,0576,17,13, , , , , 
2343147,1,BC SCORE,7,0672,15,28, , , , , 
2343139,1,BC SCORE,7,0659,05,31,32, , , , 
2343151,1,BC SCORE,7,0681,28,32, , , , , 
2343192,1,BC SCORE,7,0691,31,21, , , , , 
2343543,1,BC SCORE,7,0562,21,31,05, , , , 
2343224,1,BC SCORE,7,0712,04, , , , , , 
2343252,1,BC SCORE,7,-008, , , , , , , 
2343238,1,BC SCORE,7,0667,28,13,04, , , , 
2343479,1,BC SCORE,7,0645,28,13,04, , , , 
2343374,1,BC SCORE,7,0656,28,18,32, , , , 
2343378,1,BC SCORE,7,0550,21,28, , , , , 
2343375,1,BC SCORE,7,0724,04, , , , , , 
2343406,1,BC SCORE,7,0560,60, , , , , , 
2343487,1,BC SCORE,7,-008, , , , , , , 
2343465,1,BC SCORE,7,0730,04, , , , , , 
2343508,1,BC SCORE,7,0653,21,15, , , , , 
2343536,1,BC SCORE,7,0640,32,28,04, , , , 
2343502,1,BC SCORE,7,-009, , , , , , , 
2343514,1,BC SCORE,7,0706,56, , , , , , 
2343540,1,BC SCORE,7,0732,04, , , , , , 
2343576,1,BC SCORE,7,0574,17,13,28, , , , 
2343571,1,BC SCORE,7,0673,04,13, , , , , 
2345132,1,BC SCORE,7,-008, , , , , , , 
2343594,1,BC SCORE,7,0648,17,31,09, , , , 
2344302,1,BC SCORE,7,0712,21,04, , , , , 
2343596,1,BC SCORE,7,0721,04,28, , , , , 
2343611,1,BC SCORE,7,-008, , , , , , , 
2343617,1,BC SCORE,7,0567,21,28, , , , , 
2343637,1,BC SCORE,7,0528,07,28,21, , , , 
2343688,1,BC SCORE,7,0724,04, , , , , , 
2343965,1,BC SCORE,7,0656,28,18,32, , , , 
2343974,1,BC SCORE,7,0619,15,28,09, , , , 
2344021,1,BC SCORE,7,0724,04, , , , , , 
2344158,1,BC SCORE,7,0569,28,21,31, , , , 
2343318,1,BC SCORE,7,0684,28,16, , , , , 
2344138,1,BC SCORE,7,0723,04, , , , , , 
2344128,1,BC SCORE,7,0712,04, , , , , , 
2344213,1,BC SCORE,7,0718,04, , , , , , 
2344207,1,BC SCORE,7,0654,21,16,09, , , , 
2344300,1,BC SCORE,7,0584,21,31, , , , , 
2344258,1,BC SCORE,7,0501,07,28,20, , , , 
2344350,1,BC SCORE,7,0641,28,17,15, , , , 
2344253,1,BC SCORE,7,0727,04, , , , , , 
2344435,1,BC SCORE,7,0677,28,04,09, , , , 
2344321,1,BC SCORE,7,0644,15,05, , , , , 
2345803,1,BC SCORE,7,0627,05,28,15, , , , 
2344274,1,BC SCORE,7,0704,51, , , , , , 
2344734,1,BC SCORE,7,0673,16,15, , , , , 
2344332,1,BC SCORE,7,0707,28,04, , , , , 
2344375,1,BC SCORE,7,0658,15,16,28, , , , 
2344359,1,BC SCORE,7,0717,04,28, , , , , 
2344403,1,BC SCORE,7,-008, , , , , , , 
2344386,1,BC SCORE,7,0682,28,04,13, , , , 
2344387,1,BC SCORE,7,0655,09,17,16, , , , 
2344774,1,BC SCORE,7,0572,17,31, , , , , 
2344395,1,BC SCORE,7,0572,28,21, , , , , 
